銘柄名称,市場名称,足種,日付,時刻,始値,高値,安値,終値,出来高,H_Open,H_High,H_Low,H_Close,TREND,EP,AF,PSAR,Period,Diff
,,,2025/01/29,09:57,1967.5 ,1967.5 ,1966.0 ,1966.5 ,137200,1967.13 ,1967.50 ,1966.00 ,1966.88 ,-1,1965.00 ,0.06 ,1969.15 ,12,1.0 
,,,2025/01/29,09:58,1966.0 ,1968.0 ,1966.0 ,1968.0 ,71200,1967.00 ,1968.00 ,1966.00 ,1967.00 ,-1,1965.00 ,0.06 ,1968.90 ,13,-0.5 
,,,2025/01/29,09:59,1967.5 ,1968.0 ,1967.0 ,1967.5 ,61300,1967.00 ,1968.00 ,1967.00 ,1967.50 ,-1,1965.00 ,0.06 ,1968.67 ,14,0.0 
,,,2025/01/29,10:00,1967.5 ,1969.0 ,1967.5 ,1968.0 ,188900,1967.25 ,1969.00 ,1967.25 ,1968.00 ,1,1967.25 ,0.02 ,1965.00 ,0,
,,,2025/01/29,10:01,1968.0 ,1968.0 ,1966.5 ,1966.5 ,99500,1967.63 ,1968.00 ,1966.50 ,1967.25 ,1,1968.00 ,0.04 ,1965.12 ,1,-1.5 
,,,2025/01/29,10:02,1967.0 ,1967.5 ,1966.0 ,1967.0 ,92300,1967.44 ,1967.50 ,1966.00 ,1966.88 ,1,1968.00 ,0.04 ,1965.24 ,2,-1.0 
,,,2025/01/29,10:03,1966.5 ,1969.5 ,1966.5 ,1969.0 ,111100,1967.16 ,1969.50 ,1966.50 ,1967.88 ,1,1969.50 ,0.06 ,1965.49 ,3,1.0 
,,,2025/01/29,10:04,1969.5 ,1970.5 ,1969.0 ,1970.0 ,235900,1967.52 ,1970.50 ,1967.52 ,1969.75 ,1,1970.50 ,0.08 ,1965.89 ,4,2.0 
,,,2025/01/29,10:05,1970.0 ,1972.0 ,1970.0 ,1972.0 ,212100,1968.63 ,1972.00 ,1968.63 ,1971.00 ,1,1972.00 ,0.10 ,1966.50 ,5,4.0 
,,,2025/01/29,10:06,1972.0 ,1976.0 ,1972.0 ,1974.5 ,704400,1969.82 ,1976.00 ,1969.82 ,1973.63 ,1,1976.00 ,0.12 ,1967.64 ,6,6.5 
